2016-06-01 13:05:19,535 [Worker-8] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: WebAnalizer:WebAnalizer:0.0.1-SNAPSHOT @ C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\pom.xml.
2016-06-01 13:05:46,881 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 13:05:46,888 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-01 13:05:46,891 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 13:05:47,312 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-01 13:05:50,986 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 13:05:50,995 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-01 13:05:50,996 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 13:05:51,004 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-01 15:30:30,271 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 15:30:30,292 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-01 15:30:30,294 [Worker-7] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 15:30:30,299 [Worker-7] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-01 15:30:43,220 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 15:30:43,227 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-01 15:30:43,229 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 15:30:43,238 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-01 15:31:18,175 [main] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache file is not out-of-date. No remote download required.
2016-06-01 15:34:32,879 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 15:34:32,909 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-01 15:34:32,912 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 15:34:32,922 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-01 15:35:20,404 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 15:35:20,429 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-01 15:35:20,431 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 15:35:20,439 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-01 16:58:29,253 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 16:58:29,284 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-01 16:58:29,286 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 16:58:29,300 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-01 17:01:59,622 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 17:01:59,654 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-01 17:01:59,659 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-01 17:01:59,666 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 09:12:16,483 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:12:16,516 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 09:12:16,519 [Worker-0] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:12:16,525 [Worker-0] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 09:12:26,961 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:12:26,969 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 09:12:26,971 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:12:26,978 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 09:29:04,721 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:29:04,728 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 09:29:04,730 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:29:04,737 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 09:29:21,423 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:29:21,427 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 09:29:21,429 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:29:21,434 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 09:42:35,045 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:42:35,072 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 09:42:35,075 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:42:35,080 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 09:48:57,621 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:48:57,647 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 09:48:57,654 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:48:57,666 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 09:49:27,036 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:49:27,045 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 09:49:27,047 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 09:49:27,051 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 10:00:57,381 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 10:00:57,426 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 10:00:57,429 [Worker-20] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 10:00:57,433 [Worker-20] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 11:14:06,905 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 11:14:06,910 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 11:14:06,911 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 11:14:06,918 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 11:39:12,183 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 11:39:12,191 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 11:39:12,195 [Worker-44] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 11:39:12,199 [Worker-44] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 11:45:20,020 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 11:45:20,025 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 11:45:20,026 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 11:45:20,030 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 11:46:49,069 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 11:46:49,079 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 11:46:49,085 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 11:46:49,091 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 12:08:27,996 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 12:08:28,003 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 12:08:28,004 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 12:08:28,016 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 12:08:52,722 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 12:08:52,740 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 12:08:52,752 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 12:08:52,758 [Worker-43] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\test\resources
2016-06-02 12:09:19,866 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-06-02 12:09:19,872 [Worker-50] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\DellVostro\Desktop\WorkSpace\Selenium\Selenium\WebAnalizer\src\main\resources
2016-06-02 12:09:19,874 [Worker-50] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
